GE6151 (CP),MA6151 (Maths I),MA6251(Maths II),CS6202(PDS-I),MA6351(Maths),CS6301(PDS-II),CS6302(DBMS),CS6402 (OS),CS6401 (DAA),CS6403 (SE),MA6453,CS6502 (OOPS),Category
6,5,0,5,5,0,0,5,0,0,0,5,0
10,8,0,7,0,8,8,7,8,5,7,7,2
6,0,0,0,5,0,0,5,7,5,0,5,0
6,5,5,5,5,0,6,6,5,8,0,5,0
9,7,7,5,8,8,7,8,7,8,7,7,1
9,6,5,5,5,7,6,7,5,5,5,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,5,7,8,7,5,7,5,7,5,8,1
8,5,0,5,5,0,5,7,0,5,0,6,0
5,6,5,5,5,6,7,5,5,5,5,5,0
6,5,0,0,5,0,0,6,5,6,0,7,0
7,5,5,5,0,5,0,7,0,5,0,6,0
7,8,5,7,8,7,5,8,7,7,7,8,1
5,8,5,5,5,0,0,6,0,5,5,7,0
6,5,5,5,5,0,0,0,0,0,0,0,0
7,7,5,5,6,8,0,0,7,8,0,7,1
5,5,5,5,5,5,5,8,5,6,5,7,0
10,10,0,7,10,7,8,0,7,8,7,8,1
7,7,5,5,5,5,8,8,5,7,5,8,1
7,5,5,6,6,5,6,7,6,0,5,8,0
8,5,5,5,5,7,6,8,8,7,7,7,0
9,8,7,6,0,6,7,7,7,7,8,8,3
7,5,5,6,0,5,5,0,0,5,0,6,0
7,5,5,5,5,5,5,7,5,0,7,0,0
6,5,5,0,0,5,5,6,7,8,7,7,2
9,7,7,6,7,8,8,0,7,8,8,8,1
5,5,0,0,0,0,0,0,0,6,0,5,0
8,8,5,6,5,6,8,8,8,0,7,8,1
9,6,5,7,6,8,7,7,7,6,0,7,2
9,5,5,7,5,7,7,7,5,7,6,7,1
6,7,6,6,5,5,5,0,6,0,5,5,0
9,7,5,7,7,0,0,8,7,7,7,8,1
8,7,5,7,6,8,7,8,7,7,6,8,0
8,5,8,5,0,8,7,7,7,6,8,6,0
7,5,5,6,5,7,6,8,5,7,0,7,0
5,0,0,0,0,0,0,0,0,0,0,0,0
8,6,5,5,5,0,0,0,5,0,0,0,0
8,7,7,7,7,8,8,8,8,8,7,0,1
7,7,5,0,0,5,0,0,7,0,0,5,0
8,9,8,7,8,0,8,7,7,7,7,7,2
7,0,5,6,0,0,0,6,5,5,0,6,0
5,5,5,5,5,5,5,0,0,0,0,0,0
5,5,0,0,5,6,5,0,0,0,0,5,0
8,8,5,5,5,5,5,5,7,7,7,7,0
5,7,5,6,8,5,6,0,8,0,7,7,0
7,6,5,7,5,8,8,0,8,0,8,7,0
7,7,8,8,10,8,8,7,5,6,5,5,1
7,6,5,5,6,7,5,7,7,7,5,7,2
7,5,5,5,5,7,5,0,8,7,7,10,0
9,9,8,8,9,7,7,8,7,6,5,8,1
9,6,6,6,7,8,8,7,7,7,0,5,2
5,5,5,0,0,0,5,0,7,8,7,0,0
8,8,5,6,8,8,7,0,0,0,0,0,2
0,0,0,0,0,0,0,6,5,6,5,6,0
8,5,5,5,5,7,5,5,0,0,0,0,2
5,5,0,0,0,0,0,0,0,0,0,0,0
5,0,5,5,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,6,8,7,7,7,8,0
5,0,5,5,7,6,7,6,6,7,0,8,0
5,0,5,0,5,7,7,6,5,6,0,0,0
7,7,6,0,5,6,8,8,8,8,0,5,0
8,5,5,0,5,5,0,7,0,6,0,5,0
9,9,7,7,9,8,8,8,9,9,0,7,2
7,7,6,5,5,0,0,5,7,0,6,0,0
5,5,5,5,5,7,6,5,7,8,0,7,1
5,5,5,0,0,0,6,0,7,7,5,0,0
8,5,5,5,6,8,7,7,0,0,0,6,1
6,5,5,0,5,5,5,7,7,5,0,8,0
6,7,6,5,8,7,6,0,8,7,5,0,0
8,5,7,5,8,7,7,8,7,7,5,7,0
8,5,7,0,7,7,5,5,7,5,5,7,0
8,8,7,5,6,8,7,7,7,7,5,7,0
9,8,7,5,0,7,6,6,8,7,6,7,2
7,8,5,5,7,5,5,7,7,5,0,0,0
9,6,7,7,8,7,8,0,0,0,0,6,1
9,10,6,8,0,8,7,7,8,8,0,6,0
5,0,5,0,0,0,0,0,0,0,0,8,0
8,7,5,6,8,7,7,8,7,8,7,7,0
5,5,0,0,0,0,0,0,0,0,0,0,0
5,5,5,5,5,5,7,7,8,8,5,5,0
7,8,6,8,8,5,5,7,6,7,8,0,0
7,7,7,7,8,7,6,7,6,8,0,7,2
7,7,6,6,6,7,7,7,7,7,8,7,0
5,0,5,0,0,0,0,6,8,7,5,7,0
8,5,7,8,0,7,8,7,0,0,0,7,0
0,0,0,0,0,0,0,0,0,0,0,7,0
7,6,5,7,5,7,5,6,7,6,6,7,0
8,8,5,0,8,7,7,5,7,7,0,5,2
5,5,0,0,5,5,5,6,6,5,0,6,0
8,8,5,5,5,7,7,5,7,7,0,6,0
9,9,6,6,9,8,8,6,7,6,5,7,2
7,5,5,5,0,0,0,0,0,0,0,0,0
6,5,0,5,6,6,5,5,6,5,6,7,0
5,5,0,0,0,0,5,0,0,6,0,0,0
8,10,6,6,8,8,6,5,6,7,8,5,1
7,5,6,5,5,8,8,7,6,8,5,7,0
7,7,5,5,0,8,5,8,8,0,6,0,1
5,5,0,0,5,0,5,0,0,0,0,5,0
5,0,0,0,0,0,0,5,5,8,0,8,0
9,8,7,8,7,0,7,8,0,8,0,0,2
0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,5,6,5,5,7,5,5,0,0,0
7,5,5,5,5,6,0,5,0,5,0,6,2
9,10,5,0,10,7,8,8,8,8,8,8,1
8,6,7,5,5,7,7,7,7,8,5,7,2
7,9,7,7,0,8,8,10,0,0,6,0,2
8,0,5,5,5,0,5,6,7,0,0,7,0
6,5,5,5,5,8,7,8,6,8,0,7,0
8,5,6,5,5,0,5,7,0,5,0,5,0
8,6,7,8,8,8,6,8,8,7,6,0,1
7,5,7,5,5,7,7,7,7,8,6,5,0
7,6,5,5,6,8,5,7,7,7,6,8,0
8,6,7,7,6,0,6,0,8,8,7,6,2
7,9,6,0,0,8,5,7,8,6,7,7,1
7,9,7,9,6,9,7,7,7,5,7,7,1
7,5,5,7,5,8,7,7,6,6,5,7,1
8,7,7,8,7,9,8,7,7,7,6,7,1
7,6,7,9,5,9,7,7,6,7,7,5,1
6,5,0,5,5,6,7,5,0,7,0,6,1
6,6,5,8,6,5,5,7,5,6,5,7,1
8,7,7,8,7,8,5,7,5,7,0,8,0
6,7,5,7,6,6,5,5,0,5,0,7,0
7,8,6,10,6,8,7,7,7,7,7,8,1
7,8,0,8,6,7,5,0,5,5,5,5,1
5,5,5,6,5,5,5,5,6,0,5,0,0
7,6,7,9,7,7,7,7,6,6,5,7,2
5,5,0,8,5,5,5,0,0,0,5,0,0
0,0,0,0,0,5,5,0,0,5,0,5,0
6,5,5,5,5,7,5,0,0,0,5,5,0
8,7,5,7,8,8,7,7,7,5,7,7,1
8,8,6,7,7,9,7,7,6,0,7,6,1
5,5,5,5,0,5,5,7,6,0,5,6,0
5,5,0,7,5,5,6,0,5,0,5,6,0
5,5,5,6,6,6,7,7,6,0,7,5,0
6,5,5,7,5,5,0,7,0,0,0,0,1
5,0,0,0,0,5,5,7,5,5,0,5,0
6,5,5,7,5,6,6,7,5,5,5,5,2
7,5,5,8,5,7,7,9,0,7,7,0,3
7,8,7,10,7,7,7,7,0,6,5,6,0
7,8,6,9,7,8,8,7,7,7,7,7,2
7,8,8,8,8,8,5,6,5,6,5,8,2
0,0,0,0,0,5,0,0,0,0,0,8,0
8,7,5,9,5,7,7,7,5,7,5,8,2
8,9,5,9,6,9,8,8,5,7,5,5,1
0,0,0,0,0,5,5,0,0,5,5,0,0
0,0,0,6,5,0,0,0,0,0,5,8,0
7,8,6,9,7,8,8,5,6,5,8,0,1
5,0,5,0,5,5,0,0,5,0,5,6,0
0,0,5,5,5,0,5,0,0,0,5,5,0
0,0,0,0,0,5,5,0,0,0,0,7,0
7,5,5,7,5,6,6,6,5,0,7,7,1
